Region,Country,Item Type,,,
Central America and the Caribbean,Grenada,Vegetables,,,
Europe,Hungary,Cereal,,,
Middle East and North Africa,Libya,Personal Care,,,
Asia,Nepal,Fruits,,,
Sub-Saharan Africa,Zimbabwe,Cereal,,,
Australia and Oceania,East Timor,Personal Care,,,
Europe,Armenia,Meat,,,
North America,Greenland,Cosmetics,,,
Asia,Taiwan,Fruits,,,
Sub-Saharan Africa,Rwanda,Snacks,,,
Europe,Poland,Meat,,,
Asia,Japan,Cereal,,,
Central America and the Caribbean,Guatemala,Cereal,,,
North America,Greenland,Cosmetics,,,
Asia,Tajikistan,Clothes,,,
Asia,Cambodia,Cosmetics,,,
Sub-Saharan Africa,Madagascar,Clothes,,,
Europe,Lithuania,Snacks,,,
Sub-Saharan Africa,Cameroon,Vegetables,,,
Sub-Saharan Africa,South Sudan,Household,,,
Asia,Nepal,Meat,,,
Sub-Saharan Africa,Senegal,Beverages,,,
Central America and the Caribbean,Barbados,Clothes,,,
Asia,Cambodia,Clothes,,,
Sub-Saharan Africa,Uganda,Meat,,,
Europe,Belarus,Clothes,,,
Middle East and North Africa,Azerbaijan,Beverages,,,
Sub-Saharan Africa,Sao Tome and Principe,Personal Care,,,
Central America and the Caribbean,Nicaragua,Baby Food,,,
Asia,Thailand,Meat,,,
Sub-Saharan Africa,South Africa,Vegetables,,,
Sub-Saharan Africa,Lesotho,Personal Care,,,
Sub-Saharan Africa,Burkina Faso,Fruits,,,
Sub-Saharan Africa,The Gambia,Office Supplies,,,
Asia,Sri Lanka,Baby Food,,,
Middle East and North Africa,Pakistan,Clothes,,,
Europe,Portugal,Office Supplies,,,
Central America and the Caribbean,El Salvador,Clothes,,,
Europe,Armenia,Fruits,,,
Central America and the Caribbean,Belize,Office Supplies,,,
Europe,Ireland,Clothes,,,
Asia,South Korea,Household,,,
Sub-Saharan Africa,Malawi,Fruits,,,
Middle East and North Africa,Qatar,Snacks,,,
Sub-Saharan Africa,Rwanda,Meat,,,
Europe,Vatican City,Vegetables,,,
Asia,Kyrgyzstan,Fruits,,,
Central America and the Caribbean,Honduras,Cosmetics,,,
Middle East and North Africa,Turkey,Snacks,,,
Europe,Moldova ,Cereal,,,
Europe,San Marino,Office Supplies,,,
Asia,Turkmenistan,Personal Care,,,
Asia,China,Beverages,,,
Middle East and North Africa,Azerbaijan,Baby Food,,,
Europe,Norway,Baby Food,,,
Middle East and North Africa,Israel,Office Supplies,,,
Central America and the Caribbean,Antigua and Barbuda ,Cereal,,,
Asia,Turkmenistan,Office Supplies,,,
Europe,Italy,Vegetables,,,
Middle East and North Africa,Iran,Clothes,,,
Middle East and North Africa,Tunisia ,Meat,,,
Sub-Saharan Africa,Ethiopia,Personal Care,,,
Sub-Saharan Africa,Cape Verde,Office Supplies,,,
Europe,Ukraine,Beverages,,,
Europe,United Kingdom,Office Supplies,,,
Europe,Luxembourg,Personal Care,,,
Sub-Saharan Africa,Kenya,Household,,,
Central America and the Caribbean,Haiti,Cereal,,,
Sub-Saharan Africa,Guinea-Bissau,Baby Food,,,
North America,Greenland,Clothes,,,
Asia,North Korea,Cosmetics,,,
Sub-Saharan Africa,Sierra Leone,Meat,,,
Europe,Luxembourg,Meat,,,
Europe,Vatican City,Fruits,,,
Sub-Saharan Africa,Zimbabwe,Fruits,,,
Sub-Saharan Africa,Cameroon,Office Supplies,,,
Sub-Saharan Africa,Rwanda,Cosmetics,,,
Sub-Saharan Africa,Kenya,Fruits,,,
Sub-Saharan Africa,Guinea,Baby Food,,,
Europe,Serbia,Beverages,,,
Europe,San Marino,Cosmetics,,,
Sub-Saharan Africa,Republic of the Congo,Cereal,,,
Asia,India,Clothes,,,
Central America and the Caribbean,Trinidad and Tobago,Vegetables,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Household,,,
Sub-Saharan Africa,Djibouti,Beverages,,,
Asia,Philippines,Household,,,
Central America and the Caribbean,Haiti,Snacks,,,
Australia and Oceania,Papua New Guinea,Baby Food,,,
Middle East and North Africa,Saudi Arabia,Beverages,,,
Europe,Ireland,Baby Food,,,
Sub-Saharan Africa,Ghana,Household,,,
Central America and the Caribbean,Panama,Vegetables,,,
Central America and the Caribbean,Panama,Office Supplies,,,
Europe,Austria,Beverages,,,
Europe,Ukraine,Cereal,,,
Asia,Turkmenistan,Beverages,,,
Europe,Denmark,Meat,,,
Middle East and North Africa,Oman,Household,,,
Middle East and North Africa,Yemen,Fruits,,,
Sub-Saharan Africa,Sao Tome and Principe,Beverages,,,
Sub-Saharan Africa,Eritrea,Meat,,,
Central America and the Caribbean,Dominica,Office Supplies,,,
Europe,Moldova ,Office Supplies,,,
Middle East and North Africa,Morocco,Personal Care,,,
Middle East and North Africa,United Arab Emirates,Personal Care,,,
Sub-Saharan Africa,Liberia,Meat,,,
Europe,Luxembourg,Clothes,,,
Central America and the Caribbean,Honduras,Cosmetics,,,
Europe,Bosnia and Herzegovina,Baby Food,,,
Middle East and North Africa,Syria,Cereal,,,
Central America and the Caribbean,Haiti,Meat,,,
Europe,Russia,Clothes,,,
Middle East and North Africa,Yemen,Beverages,,,
Europe,France,Vegetables,,,
Europe,Netherlands,Snacks,,,
Middle East and North Africa,Iraq,Clothes,,,
Central America and the Caribbean,Belize,Personal Care,,,
Europe,Ukraine,Personal Care,,,
Europe,Bulgaria,Cereal,,,
Middle East and North Africa,Afghanistan,Fruits,,,
Central America and the Caribbean,Grenada,Fruits,,,
Asia,Vietnam,Beverages,,,
Central America and the Caribbean,Honduras,Office Supplies,,,
Sub-Saharan Africa,Liberia,Meat,,,
Sub-Saharan Africa,Lesotho,Baby Food,,,
Central America and the Caribbean,Saint Lucia,Household,,,
Sub-Saharan Africa,Kenya,Cereal,,,
Europe,Sweden,Clothes,,,
Europe,United Kingdom,Fruits,,,
Europe,Macedonia,Beverages,,,
Middle East and North Africa,Jordan,Cosmetics,,,
Sub-Saharan Africa,Central African Republic,Cosmetics,,,
Middle East and North Africa,Morocco,Cereal,,,
Sub-Saharan Africa,Sudan,Baby Food,,,
Middle East and North Africa,United Arab Emirates,Baby Food,,,
Sub-Saharan Africa,Kenya,Baby Food,,,
Middle East and North Africa,United Arab Emirates,Clothes,,,
Europe,Monaco,Cosmetics,,,
Europe,Latvia,Snacks,,,
Middle East and North Africa,Algeria,Office Supplies,,,
Asia,Myanmar,Meat,,,
Europe,Serbia,Meat,,,
Asia,Bhutan,Snacks,,,
Middle East and North Africa,Qatar,Clothes,,,
Asia,Myanmar,Personal Care,,,
Europe,Monaco,Vegetables,,,
Europe,Spain,Cosmetics,,,
Europe,Lithuania,Cereal,,,
Sub-Saharan Africa,Benin,Cereal,,,
Sub-Saharan Africa,Cape Verde,Clothes,,,
Europe,Albania,Cosmetics,,,
Asia,Philippines,Clothes,,,
Middle East and North Africa,Somalia,Vegetables,,,
Sub-Saharan Africa,Benin,Cosmetics,,,
Sub-Saharan Africa,Eritrea,Baby Food,,,
Sub-Saharan Africa,Chad,Beverages,,,
Middle East and North Africa,Libya,Meat,,,
Sub-Saharan Africa,Ghana,Household,,,
Europe,Bosnia and Herzegovina,Snacks,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Snacks,,,
Australia and Oceania,Papua New Guinea,Clothes,,,
Europe,Kosovo,Meat,,,
Europe,Iceland,Beverages,,,
Europe,Bosnia and Herzegovina,Household,,,
Australia and Oceania,Marshall Islands,Meat,,,
Australia and Oceania,Federated States of Micronesia,Beverages,,,
Europe,Georgia,Meat,,,
Asia,Sri Lanka,Household,,,
North America,Canada,Clothes,,,
Sub-Saharan Africa,Rwanda,Baby Food,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,,,
Europe,Poland,Baby Food,,,
Asia,Uzbekistan,Snacks,,,
Europe,Slovakia,Cosmetics,,,
Sub-Saharan Africa,Botswana,Baby Food,,,
Sub-Saharan Africa,Ethiopia,Baby Food,,,
Middle East and North Africa,Egypt,Baby Food,,,
Europe,Armenia,Meat,,,
Sub-Saharan Africa,Mauritius ,Vegetables,,,
Europe,Latvia,Clothes,,,
Asia,Japan,Vegetables,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Vegetables,,,
Europe,Sweden,Baby Food,,,
Sub-Saharan Africa,Mauritania,Personal Care,,,
Asia,Vietnam,Cosmetics,,,
Australia and Oceania,New Zealand,Clothes,,,
Asia,Thailand,Vegetables,,,
Europe,Kosovo,Household,,,
Sub-Saharan Africa,Swaziland,Household,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,,,
Asia,Philippines,Vegetables,,,
North America,United States of America,Cosmetics,,,
Sub-Saharan Africa,Cameroon,Cereal,,,
Asia,Tajikistan,Vegetables,,,
Sub-Saharan Africa,Namibia,Office Supplies,,,
Sub-Saharan Africa,Burundi,Office Supplies,,,
Australia and Oceania,Federated States of Micronesia,Household,,,
Sub-Saharan Africa,Guinea-Bissau,Baby Food,,,
Sub-Saharan Africa,Republic of the Congo,Clothes,,,
Middle East and North Africa,Lebanon,Personal Care,,,
Asia,Laos,Meat,,,
Asia,Cambodia,Fruits,,,
Middle East and North Africa,Egypt,Meat,,,
Europe,United Kingdom,Snacks,,,
Europe,Poland,Baby Food,,,
Middle East and North Africa,Turkey,Cosmetics,,,
Central America and the Caribbean,El Salvador,Beverages,,,
Asia,Indonesia,Meat,,,
Europe,United Kingdom,Cosmetics,,,
Sub-Saharan Africa,Togo,Cereal,,,
Europe,Liechtenstein,Fruits,,,
Middle East and North Africa,Azerbaijan,Household,,,
Sub-Saharan Africa,Botswana,Office Supplies,,,
Europe,Georgia,Cereal,,,
Australia and Oceania,Vanuatu,Household,,,
Europe,Austria,Household,,,
Europe,Bulgaria,Snacks,,,
Asia,Cambodia,Personal Care,,,
Sub-Saharan Africa,Kenya,Office Supplies,,,
Sub-Saharan Africa,Nigeria,Household,,,
Sub-Saharan Africa,Nigeria,Household,,,
Europe,Bosnia and Herzegovina,Household,,,
Middle East and North Africa,Azerbaijan,Clothes,,,
Middle East and North Africa,Oman,Beverages,,,
Sub-Saharan Africa,Botswana,Fruits,,,
Central America and the Caribbean,Jamaica,Meat,,,
North America,United States of America,Clothes,,,
Sub-Saharan Africa,Mozambique,Meat,,,
Middle East and North Africa,Morocco,Personal Care,,,
Europe,Hungary,Meat,,,
Europe,Finland,Snacks,,,
Asia,Laos,Snacks,,,
Sub-Saharan Africa,Sierra Leone,Cereal,,,
Australia and Oceania,New Zealand,Clothes,,,
Australia and Oceania,Nauru,Baby Food,,,
Europe,Georgia,Baby Food,,,
Asia,Japan,Beverages,,,
Sub-Saharan Africa,Madagascar,Office Supplies,,,
Sub-Saharan Africa,Liberia,Household,,,
Asia,Myanmar,Vegetables,,,
Asia,Uzbekistan,Fruits,,,
Europe,Armenia,Snacks,,,
Middle East and North Africa,Turkey,Baby Food,,,
Sub-Saharan Africa,Burkina Faso,Beverages,,,
Central America and the Caribbean,Belize,Fruits,,,
Sub-Saharan Africa,Namibia,Fruits,,,
Sub-Saharan Africa,Gabon,Cosmetics,,,
North America,Canada,Cereal,,,
Sub-Saharan Africa,Equatorial Guinea,Vegetables,,,
Sub-Saharan Africa,Nigeria,Household,,,
Sub-Saharan Africa,Central African Republic,Vegetables,,,
Asia,South Korea,Baby Food,,,
Asia,South Korea,Meat,,,
Sub-Saharan Africa,Cote d'Ivoire,Personal Care,,,
Europe,Slovakia,Snacks,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks,,,
Australia and Oceania,Australia,Cosmetics,,,
Sub-Saharan Africa,Swaziland,Baby Food,,,
North America,Canada,Beverages,,,
Sub-Saharan Africa,Cote d'Ivoire,Beverages,,,
Sub-Saharan Africa,Eritrea,Office Supplies,,,
Sub-Saharan Africa,Djibouti,Fruits,,,
Middle East and North Africa,Saudi Arabia,Household,,,
Sub-Saharan Africa,Cape Verde,Office Supplies,,,
Australia and Oceania,Fiji,Meat,,,
Sub-Saharan Africa,Benin,Meat,,,
Asia,Bhutan,Vegetables,,,
Australia and Oceania,Federated States of Micronesia,Meat,,,
Sub-Saharan Africa,Swaziland,Personal Care,,,
Asia,Philippines,Baby Food,,,
Middle East and North Africa,Tunisia ,Fruits,,,
Sub-Saharan Africa,Uganda,Office Supplies,,,
Asia,Cambodia,Baby Food,,,
Europe,Moldova ,Baby Food,,,
Europe,Iceland,Meat,,,
Australia and Oceania,Papua New Guinea,Meat,,,
Sub-Saharan Africa,Djibouti,Beverages,,,
Asia,Malaysia,Personal Care,,,
Sub-Saharan Africa,Kenya,Vegetables,,,
North America,Mexico,Clothes,,,
Europe,Montenegro,Personal Care,,,
Europe,Moldova ,Cosmetics,,,
Sub-Saharan Africa,Sudan,Cereal,,,
Asia,Indonesia,Personal Care,,,
North America,Greenland,Cosmetics,,,
Sub-Saharan Africa,Zambia,Snacks,,,
Asia,Maldives,Snacks,,,
Sub-Saharan Africa,Sao Tome and Principe,Cosmetics,,,
Europe,Monaco,Snacks,,,
Sub-Saharan Africa,Zimbabwe,Clothes,,,
Sub-Saharan Africa,Kenya,Snacks,,,
Europe,Liechtenstein,Personal Care,,,
North America,Mexico,Beverages,,,
Sub-Saharan Africa,Senegal,Vegetables,,,
Europe,Kosovo,Vegetables,,,
Asia,Mongolia,Fruits,,,
Middle East and North Africa,United Arab Emirates,Household,,,
Asia,Uzbekistan,Personal Care,,,
Europe,Cyprus,Meat,,,
Europe,Croatia,Fruits,,,
Asia,Bangladesh,Cereal,,,
Middle East and North Africa,Bahrain,Beverages,,,
Australia and Oceania,Samoa ,Personal Care,,,
Europe,Slovakia,Beverages,,,
Middle East and North Africa,Bahrain,Household,,,
Europe,Finland,Office Supplies,,,
Sub-Saharan Africa,Gabon,Snacks,,,
Asia,China,Vegetables,,,
Middle East and North Africa,Bahrain,Office Supplies,,,
Asia,Mongolia,Vegetables,,,
Asia,Malaysia,Office Supplies,,,
Europe,Cyprus,Clothes,,,
Europe,Liechtenstein,Household,,,
Sub-Saharan Africa,Lesotho,Beverages,,,
Europe,Denmark,Personal Care,,,
Sub-Saharan Africa,Kenya,Meat,,,
Europe,Armenia,Personal Care,,,
Sub-Saharan Africa,Seychelles ,Vegetables,,,
Australia and Oceania,Kiribati,Personal Care,,,
Sub-Saharan Africa,Mauritius ,Household,,,
Middle East and North Africa,Morocco,Vegetables,,,
Sub-Saharan Africa,Comoros,Snacks,,,
Europe,Belarus,Meat,,,
Sub-Saharan Africa,Nigeria,Personal Care,,,
Central America and the Caribbean,Grenada,Vegetables,,,
Sub-Saharan Africa,Ethiopia,Household,,,
Sub-Saharan Africa,Mauritius ,Clothes,,,
Middle East and North Africa,Syria,Office Supplies,,,
Sub-Saharan Africa,Senegal,Personal Care,,,
Europe,Iceland,Baby Food,,,
Sub-Saharan Africa,Uganda,Office Supplies,,,
Europe,Montenegro,Vegetables,,,
Europe,Ireland,Office Supplies,,,
Australia and Oceania,Vanuatu,Cereal,,,
Australia and Oceania,Palau,Clothes,,,
Sub-Saharan Africa,Nigeria,Personal Care,,,
Central America and the Caribbean,Cuba,Cereal,,,
Asia,China,Cereal,,,
Europe,Liechtenstein,Beverages,,,
Sub-Saharan Africa,Rwanda,Office Supplies,,,
Sub-Saharan Africa,Seychelles ,Household,,,
Sub-Saharan Africa,Senegal,Vegetables,,,
Central America and the Caribbean,Nicaragua,Fruits,,,
Sub-Saharan Africa,Seychelles ,Cereal,,,
Central America and the Caribbean,Nicaragua,Meat,,,
Sub-Saharan Africa,Uganda,Beverages,,,
Asia,Kazakhstan,Beverages,,,
Europe,Belarus,Clothes,,,
Europe,Belarus,Clothes,,,
Central America and the Caribbean,Costa Rica,Cosmetics,,,
Asia,South Korea,Cereal,,,
Central America and the Caribbean,Antigua and Barbuda ,Personal Care,,,
Middle East and North Africa,United Arab Emirates,Household,,,
Europe,Albania,Cosmetics,,,
Asia,Maldives,Cereal,,,
Asia,Japan,Beverages,,,
Australia and Oceania,Fiji,Meat,,,
Europe,Lithuania,Fruits,,,
Europe,Sweden,Baby Food,,,
Middle East and North Africa,Egypt,Snacks,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Vegetables,,,
Europe,Iceland,Household,,,
Sub-Saharan Africa,Ethiopia,Cereal,,,
Europe,Estonia,Household,,,
Asia,China,Meat,,,
Central America and the Caribbean,El Salvador,Meat,,,
Middle East and North Africa,Oman,Household,,,
Australia and Oceania,Nauru,Personal Care,,,
Middle East and North Africa,Turkey,Fruits,,,
Europe,Romania,Cereal,,,
Europe,Croatia,Snacks,,,
Europe,Moldova ,Beverages,,,
Sub-Saharan Africa,Mozambique,Clothes,,,
Europe,Latvia,Personal Care,,,
Europe,Norway,Beverages,,,
Middle East and North Africa,Bahrain,Household,,,
Asia,Thailand,Cosmetics,,,
Sub-Saharan Africa,Liberia,Fruits,,,
Asia,China,Baby Food,,,
Central America and the Caribbean,Belize,Fruits,,,
Central America and the Caribbean,Costa Rica,Clothes,,,
Asia,South Korea,Fruits,,,
Europe,Netherlands,Office Supplies,,,
Asia,North Korea,Clothes,,,
Central America and the Caribbean,Belize,Clothes,,,
Central America and the Caribbean,Grenada,Snacks,,,
Asia,Tajikistan,Vegetables,,,
Asia,Brunei,Office Supplies,,,
Europe,Vatican City,Office Supplies,,,
Sub-Saharan Africa,Namibia,Fruits,,,
Europe,Portugal,Baby Food,,,
Sub-Saharan Africa,Senegal,Personal Care,,,
Sub-Saharan Africa,Rwanda,Beverages,,,
Middle East and North Africa,Afghanistan,Household,,,
Sub-Saharan Africa,Seychelles ,Personal Care,,,
Australia and Oceania,Vanuatu,Vegetables,,,
Australia and Oceania,Kiribati,Office Supplies,,,
Australia and Oceania,New Zealand,Vegetables,,,
Sub-Saharan Africa,Eritrea,Office Supplies,,,
Sub-Saharan Africa,Niger,Beverages,,,
Middle East and North Africa,Lebanon,Fruits,,,
Sub-Saharan Africa,Burkina Faso,Office Supplies,,,
Europe,Slovenia,Personal Care,,,
Sub-Saharan Africa,Kenya,Personal Care,,,
Asia,North Korea,Personal Care,,,
Sub-Saharan Africa,Chad,Cosmetics,,,
North America,Greenland,Vegetables,,,
Middle East and North Africa,Somalia,Personal Care,,,
Sub-Saharan Africa,Sudan,Personal Care,,,
Europe,Netherlands,Snacks,,,
Middle East and North Africa,Yemen,Beverages,,,
Central America and the Caribbean,Haiti,Baby Food,,,
Asia,Taiwan,Personal Care,,,
Europe,Bosnia and Herzegovina,Household,,,
Asia,Philippines,Personal Care,,,
Europe,Croatia,Cosmetics,,,
Middle East and North Africa,Afghanistan,Household,,,
Sub-Saharan Africa,Cape Verde,Clothes,,,
Europe,Monaco,Meat,,,
Sub-Saharan Africa,Eritrea,Vegetables,,,
Europe,Italy,Cosmetics,,,
Asia,Cambodia,Meat,,,
Sub-Saharan Africa,Burkina Faso,Snacks,,,
Europe,Bulgaria,Personal Care,,,
Middle East and North Africa,Somalia,Fruits,,,
Sub-Saharan Africa,Burundi,Beverages,,,
Middle East and North Africa,Somalia,Beverages,,,
Europe,Malta,Fruits,,,
Asia,Sri Lanka,Cosmetics,,,
Asia,Myanmar,Vegetables,,,
Europe,Vatican City,Beverages,,,
Europe,Serbia,Personal Care,,,
Europe,Luxembourg,Cereal,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food,,,
Australia and Oceania,Marshall Islands,Cereal,,,
Sub-Saharan Africa,Togo,Household,,,
North America,Mexico,Fruits,,,
Sub-Saharan Africa,Guinea-Bissau,Cereal,,,
Sub-Saharan Africa,Swaziland,Personal Care,,,
Asia,Maldives,Clothes,,,
Sub-Saharan Africa,Zambia,Snacks,,,
Sub-Saharan Africa,Seychelles ,Snacks,,,
Sub-Saharan Africa,Kenya,Household,,,
Europe,Malta,Cereal,,,
Australia and Oceania,East Timor,Cosmetics,,,
Europe,Croatia,Vegetables,,,
Asia,Cambodia,Meat,,,
Europe,Finland,Baby Food,,,
Australia and Oceania,Tuvalu,Office Supplies,,,
Central America and the Caribbean,Antigua and Barbuda ,Baby Food,,,
Asia,Brunei,Vegetables,,,
Middle East and North Africa,Syria,Meat,,,
Europe,Switzerland,Clothes,,,
Australia and Oceania,Papua New Guinea,Baby Food,,,
Middle East and North Africa,Bahrain,Meat,,,
North America,Canada,Beverages,,,
Sub-Saharan Africa,Togo,Office Supplies,,,
Australia and Oceania,Solomon Islands,Meat,,,
Sub-Saharan Africa,Swaziland,Baby Food,,,
Central America and the Caribbean,Haiti,Meat,,,
Central America and the Caribbean,Antigua and Barbuda ,Household,,,
Australia and Oceania,Tonga,Clothes,,,
Central America and the Caribbean,Cuba,Fruits,,,
Sub-Saharan Africa,Tanzania,Office Supplies,,,
Sub-Saharan Africa,Swaziland,Household,,,
Europe,Kosovo,Beverages,,,
Central America and the Caribbean,Saint Vincent and the Grenadines,Vegetables,,,
Sub-Saharan Africa,Kenya,Beverages,,,
Europe,Belgium,Household,,,
Central America and the Caribbean,Haiti,Fruits,,,
Europe,Switzerland,Personal Care,,,
Sub-Saharan Africa,Burundi,Fruits,,,
Middle East and North Africa,Lebanon,Beverages,,,
Asia,Japan,Baby Food,,,
Central America and the Caribbean,The Bahamas,Cosmetics,,,
Australia and Oceania,Vanuatu,Meat,,,
Asia,Bangladesh,Personal Care,,,
Asia,Nepal,Office Supplies,,,
Middle East and North Africa,Libya,Fruits,,,
Asia,Uzbekistan,Baby Food,,,
Asia,Philippines,Beverages,,,
Middle East and North Africa,Iran,Personal Care,,,
Sub-Saharan Africa,Senegal,Cereal,,,
Europe,Switzerland,Baby Food,,,
Sub-Saharan Africa,Uganda,Cereal,,,
Sub-Saharan Africa,Cameroon,Snacks,,,
Sub-Saharan Africa,Zimbabwe,Beverages,,,
Europe,United Kingdom,Personal Care,,,
Sub-Saharan Africa,Mozambique,Vegetables,,,
Asia,Kazakhstan,Vegetables,,,
Sub-Saharan Africa,Madagascar,Beverages,,,
Central America and the Caribbean,Belize,Cereal,,,
Middle East and North Africa,United Arab Emirates,Beverages,,,
Central America and the Caribbean,Saint Lucia,Vegetables,,,
Sub-Saharan Africa,Togo,Office Supplies,,,
Asia,Malaysia,Household,,,
Central America and the Caribbean,Nicaragua,Cereal,,,
Sub-Saharan Africa,Togo,Cereal,,,
Central America and the Caribbean,Nicaragua,Meat,,,
Europe,Moldova ,Personal Care,,,
Europe,Czech Republic,Beverages,,,
Middle East and North Africa,Morocco,Clothes,,,
Europe,Kosovo,Office Supplies,,,
Asia,North Korea,Baby Food,,,
Sub-Saharan Africa,The Gambia,Clothes,,,
Australia and Oceania,Tuvalu,Meat,,,
Central America and the Caribbean,Grenada,Office Supplies,,,
Europe,Estonia,Cosmetics,,,
Europe,Finland,Clothes,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Household,,,
Central America and the Caribbean,Trinidad and Tobago,Clothes,,,
Sub-Saharan Africa,Central African Republic,Vegetables,,,
Europe,Russia,Cosmetics,,,
Central America and the Caribbean,Barbados,Office Supplies,,,
Australia and Oceania,Palau,Personal Care,,,
North America,Mexico,Clothes,,,
Central America and the Caribbean,The Bahamas,Fruits,,,
Middle East and North Africa,Iran,Baby Food,,,
Australia and Oceania,Kiribati,Cosmetics,,,
Europe,Albania,Meat,,,
Asia,Brunei,Cereal,,,
Sub-Saharan Africa,South Sudan,Meat,,,
Australia and Oceania,Papua New Guinea,Household,,,
Europe,Belarus,Beverages,,,
Middle East and North Africa,Saudi Arabia,Baby Food,,,
Asia,Malaysia,Vegetables,,,
Europe,Serbia,Vegetables,,,
Asia,Cambodia,Cosmetics,,,
Central America and the Caribbean,Panama,Fruits,,,
Middle East and North Africa,Iran,Personal Care,,,
Sub-Saharan Africa,Sierra Leone,Vegetables,,,
Sub-Saharan Africa,Rwanda,Meat,,,
Central America and the Caribbean,Haiti,Beverages,,,
Central America and the Caribbean,Cuba,Meat,,,
North America,Mexico,Baby Food,,,
Middle East and North Africa,Israel,Cereal,,,
Central America and the Caribbean,Cuba,Office Supplies,,,
Sub-Saharan Africa,Chad,Vegetables,,,
Sub-Saharan Africa,Zambia,Meat,,,
Europe,Netherlands,Cosmetics,,,
Australia and Oceania,Federated States of Micronesia,Clothes,,,
Australia and Oceania,Federated States of Micronesia,Fruits,,,
Europe,Hungary,Cereal,,,
Asia,China,Baby Food,,,
Asia,Sri Lanka,Fruits,,,
Sub-Saharan Africa,Democratic Republic of the Congo,Personal Care,,,
Europe,Estonia,Snacks,,,
Europe,Estonia,Snacks,,,
Europe,Serbia,Cosmetics,,,
Europe,Moldova ,Office Supplies,,,
Middle East and North Africa,Oman,Cosmetics,,,
Sub-Saharan Africa,Liberia,Clothes,,,
Europe,Romania,Household,,,
Europe,Russia,Baby Food,,,
Europe,Luxembourg,Cosmetics,,,
Sub-Saharan Africa,Kenya,Cereal,,,
Europe,Russia,Beverages,,,
Middle East and North Africa,Yemen,Personal Care,,,
Europe,Denmark,Baby Food,,,
Sub-Saharan Africa,Cote d'Ivoire,Baby Food,,,
Sub-Saharan Africa,Uganda,Fruits,,,
Middle East and North Africa,Morocco,Vegetables,,,
Europe,Iceland,Cereal,,,
Asia,China,Household,,,
Middle East and North Africa,Egypt,Snacks,,,
Sub-Saharan Africa,Republic of the Congo,Personal Care,,,
Australia and Oceania,New Zealand,Office Supplies,,,
Asia,Mongolia,Office Supplies,,,
Sub-Saharan Africa,Botswana,Snacks,,,
Middle East and North Africa,Israel,Office Supplies,,,
Europe,Serbia,Office Supplies,,,
Europe,Croatia,Meat,,,
Sub-Saharan Africa,Mauritius ,Meat,,,
Asia,China,Cosmetics,,,
Europe,Georgia,Cosmetics,,,
Asia,Taiwan,Baby Food,,,
Asia,Cambodia,Cosmetics,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food,,,
Australia and Oceania,Solomon Islands,Baby Food,,,
Sub-Saharan Africa,Togo,Cosmetics,,,
Sub-Saharan Africa,Botswana,Beverages,,,
Europe,Netherlands,Cereal,,,
Sub-Saharan Africa,Ghana,Baby Food,,,
Asia,Malaysia,Fruits,,,
Middle East and North Africa,Jordan,Baby Food,,,
Sub-Saharan Africa,Niger,Clothes,,,
Asia,Tajikistan,Office Supplies,,,
Asia,Indonesia,Meat,,,
Australia and Oceania,Solomon Islands,Personal Care,,,
Middle East and North Africa,Pakistan,Cereal,,,
Europe,Netherlands,Personal Care,,,
Middle East and North Africa,Lebanon,Cereal,,,
Europe,Netherlands,Baby Food,,,
Asia,Brunei,Office Supplies,,,
Middle East and North Africa,Afghanistan,Personal Care,,,
Australia and Oceania,Papua New Guinea,Cosmetics,,,
Australia and Oceania,Tuvalu,Office Supplies,,,
Central America and the Caribbean,Haiti,Beverages,,,
Central America and the Caribbean,Saint Kitts and Nevis ,Household,,,
Sub-Saharan Africa,Gabon,Cosmetics,,,
Asia,China,Cereal,,,
Europe,Moldova ,Snacks,,,
Europe,Cyprus,Cereal,,,
Australia and Oceania,Federated States of Micronesia,Cereal,,,
Australia and Oceania,Nauru,Cereal,,,
Sub-Saharan Africa,Sierra Leone,Office Supplies,,,
Central America and the Caribbean,Grenada,Cereal,,,
Australia and Oceania,Samoa ,Fruits,,,
Middle East and North Africa,Israel,Snacks,,,
Europe,Denmark,Clothes,,,
Sub-Saharan Africa,Sudan,Snacks,,,
Middle East and North Africa,Qatar,Snacks,,,
Asia,Thailand,Office Supplies,,,
Middle East and North Africa,Qatar,Cosmetics,,,
Central America and the Caribbean,Cuba,Personal Care,,,
Asia,Tajikistan,Cereal,,,
Middle East and North Africa,Iran,Cereal,,,
Australia and Oceania,Palau,Snacks,,,
Asia,Myanmar,Meat,,,
Asia,South Korea,Fruits,,,
Sub-Saharan Africa,Ethiopia,Cereal,,,
Australia and Oceania,Federated States of Micronesia,Baby Food,,,
Sub-Saharan Africa,Mozambique,Snacks,,,
Europe,Montenegro,Office Supplies,,,
